visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
3118DM,841976,12,Septic,Money Play's Filly 2021,29-Mar-21,3-Apr-21,5.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,63,24,"1) Hypoxic ischemic encephalopathy (Neonatal Maladjustment Syndrome) from red bag delivery, resolved 2) Sepsis, resolved 3) Tendons laxity in all limbs, resolving. 4) Carpal valgus bilateral, resolving",Yes,No,,"dull, obtunded",103.7,76,80,2,2,,,>800,6.98,10.30,27.90,40.00,14.80,36.90,18.50,,slight,,,,,,,,,,12780.00,,,,10940.00,,1370.00,420.00,0.00,30.00,226.00,no,,5.50,300.00,0.0819,199.00,1.20,17.2
4544CH,682679,22,Septic,Arabella,12-May-14,2-Jun-14,21.00,ALIVE,Survivor,EQ-WARMBLOOD,F,55.9,9.5,1) Sepsis (resolved) 2) HIE (clinically resolved) 3) Fractured ribs (left 4-8) 4) Patent urachus 5) Clostridium difficile enteritis,Yes,No,330,BAR,98.6,110,44,3+,1,2,NO GROWTH,400-800,11.09,14.10,45.90,41.40,12.70,30.70,18.70,,Slight,,,,,,,,,,7960.00,,876.00,SLIGHT TOXICITY,5572.00,,1274.00,239.00,0.00,0.00,296.00,,,6.90,400.00,0.0632,33.00,8.20,17.6
4490CM,686153,17,Septic,Roman Nature '15 Colt,15-Jun-15,16-Jun-15,1.00,EUTH,Non-Survivor,EQ-HANOVERIAN,M,,0,1) Severe sepsis (suspected placentitis) 2) Neonatal maladjustment Syndrome 3) Premature,,No,329,Obtunded,100.7,124,32,3,2,,,,6.65,10.60,28.80,43.30,15.90,36.80,19.00,,Slight,,,,,,,,,,4280.00,,214.00,FEW SLIGHT TOXICITY,1969.00,,1883.00,214.00,,,199.00,,,4.60,300.00,0.0955,54.00,5.70,20.6
73817EM,688548,22,Septic,Money Play's Colt 2016,19-Apr-16,3-May-16,14.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,24,1) Hypoxic Ischemic Encephalopathy 2) Acute Kidney Injury 3) Urachitis: Post-Op Urachal Rent/Uroabdomen 4) Sepsis (Enterococcus),Yes,No,,QAR,99.8,90,40,1,1,1,LARGE GRAM (+) COCCI. CULTURE: ENTEROCOCCUS CASSELIFLAVUS & ENTEROCOCCUS FAECIUM(BY MALDI TOF). NO ANAEROBES WERE CULTURED,400-800,6.79,8.90,25.10,37.00,13.10,35.50,18.80,,Slight,,,,,,,,,,1360.00,,462.00,Moderate Toxic,313.00,Moderate Toxic,544.00,41.00,0.00,0.00,174.00,,,5.90,200.00,0.1080,68.00,5.80,20
5621DI,839358,14,Septic,Scary Fast 2020 Filly,13-May-20,30-May-20,17.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,76.5,120,1) Clostridium perfringens type A 2) Clostridium difficile,No,,,Dull / Lethargic,101.3,140,60,2,1,2,No Growth,>800,7.05,10.90,30.10,42.70,15.50,36.20,18.60,,Slight,,,,,,,,,,7310.00,,219.00,SLIGHT TOXICITY,3801.00,SLIGHT TOXICITY,2047.00,1170.00,73.00,0.00,110.00,No,,6.50,400.00,0.1691,118.00,3.80,
3290CL,685339,3,SNS,Dee's 2015 Colt,23-Mar-15,23-Mar-15,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,66.5,168,"1) Entropion OU 2) Keratitis and and superficial corneal ulcers OU (pinpoint OD, 2.5mm OS) 3) Dermatitis on inferior lid OU",,,,BAR,,,,,2,,,,9.15,12.60,33.10,36.20,13.80,38.10,19.00,,Moderate,,Rare,,,,,,,,14960.00,,,,12342.00,,2274.00,284.00,30.00,30.00,139.00,,,7.10,400.00,0.1367,,,
8580DE,699608,1,Healthy,Valencia 19 Foal,26-Jun-19,1-Jul-19,5.00,ALIVE,Survivor,EQ-WARMBLOOD,F,,120,1) Fetlock and carpal contacture. 2) Distal limb (pastern and coffin joint) laxity (R>L) 3) Grade III prognasthism.,No,No,345,BAR,100.5,132,82,2,2,,,>800,8.48,11.20,32.10,37.90,13.20,34.90,19.40,,Slight,,,,,,,,,Few,9040.00,,,,7006.00,,1790.00,163.00,36.00,54.00,158.00,,,5.10,200.00,0.1228,,,
53611FS,679362,1,Healthy,Scorch,24-Feb-13,24-Feb-13,0.00,ALIVE,Survivor,EQ-MIX/ARABIAN,M,,5,,No,,,BAR,98.2,88,52,<2,2,,,>800,7.49,10.60,28.30,37.80,14.20,37.50,18.60,,Slight,,Rare,,,,,Slight,,,7220.00,,,,5437.00,,1603.00,137.00,29.00,14.00,157.00,,,6.30,200.00,0.1185,,,
1077DN,842102,1,Healthy,Fanta's Colt 2021,23-May-21,25-May-21,2.00,ALIVE,Survivor,EQ-WARMBLOOD,M,,7,1) Apparently healthy foal.,No,No,329,BAR,100.2,110,,2,2,,,>800,11.15,15.20,42.90,38.50,13.70,35.50,20.40,,Moderate,Few,,,,,,,,,8260.00,,,,4915.00,,3064.00,182.00,25.00,41.00,174.00,No,,6.60,100.00,0.1172,,,
50822FS,674705,4,SNS,Powder River Oak 12 Colt (B3963),4-Mar-12,4-Mar-12,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,24,"1) bilateral carpal joint effusion, suspect trauma",,,,BAR,101.6,86,36,,2,,,>800,10.51,15.40,43.10,41.00,14.70,35.70,17.70,,Slight,Moderate,,,,,,,,,7480.00,,,,6029.00,,1324.00,90.00,7.00,30.00,154.00,,,6.20,400.00,0.1149,,,
74862FS,838160,0,Healthy,Rap Her Up 2020 Colt,10-Mar-20,10-Mar-20,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,24,1) Apparently healthy colt,No,,,BAR,101.1,108,60,1,2,,,,8.90,13.20,39.20,44.00,14.80,33.70,18.00,,Slight,,,,,,,,,,8860.00,,,,7265.00,,1418.00,133.00,18.00,27.00,166.00,No,,6.10,100.00,0.1084,,,
75087FS,839491,2,Healthy,Gladiatrix Filly 2020,29-Apr-20,29-Apr-20,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,24,1) Healthy Neonate Filly,No,,,BAR,101.5,120,64,1,2,,,>800,5.27,8.20,21.60,41.00,15.60,38.00,17.70,,Slight,Few,,,,,,,,,8360.00,,,,7248.00,,1020.00,75.00,8.00,8.00,164.00,No,,7.30,200.00,0.1079,,,
59862FS,685780,2,Healthy,Classy Nova 15 Colt,5-May-15,5-May-15,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,0,1) Neonatal foal: adequate IgG on snap test. Mild left shift on CBC.,No,,,BAR,100.4,80,60,<2,2,,,>800,8.45,12.30,31.00,36.70,14.60,39.70,18.70,,Slight,,,,,,,,,,8260.00,,83.00,SLIGHT TOXICITY,6525.00,,1487.00,165.00,,,178.00,,,6.50,100.00,0.1051,,,
59673FS,685897,0,Healthy,All Dueced Up 2015 Filly,10-Apr-15,10-Apr-15,0.00,ALIVE,Survivor,EQ-MIX/QUARTER HORSE,F,,12,1) Healthy foal,No,No,336,BAR,,,,<2,2,,,>800,10.76,15.30,40.70,37.80,14.20,37.60,18.50,,Slight,,Rare,,,,,,,,9350.00,,,,7396.00,,1655.00,234.00,37.00,28.00,187.00,,,6.70,300.00,0.0989,,,
56565FS,682001,2,Healthy,Paix,8-Mar-14,8-Mar-14,0.00,ALIVE,Survivor,EQ-SWED WRMBLOOD,M,,9,1) Foal check (9h post foaling) 2) Systemically healthy 3) Adequate IgG (>800mg/dL on snap test),No,No,330,BAR,99.2,84,44,1-2s,2,,,>800,9.42,13.80,40.10,42.60,14.60,34.40,17.30,,Slight,,,,,,,,,,11960.00,,,,10489.00,,1136.00,251.00,12.00,72.00,176.00,,,5.70,200.00,0.0983,,,
53707FS,678007,3,SNS,Maximus,9-Mar-13,9-Mar-13,0.00,ALIVE,Survivor,EQ-AMERICAN MINIATURE,M,15,36,1) Failure of Passive Transfer 2) Hypoxic-Ischemic Injury due to Premature Placental Separation,,,,QAR,100.1,96,28,2,2,,,,10.08,15.10,41.70,41.40,15.00,36.20,17.70,,Slight,Moderate,,,,,,,,,8880.00,,,,6607.00,,2149.00,44.00,44.00,36.00,183.00,,,6.10,,0.0967,,,
69104FS,694803,6,SNS,Roxie 2018 Foal,25-May-18,25-May-18,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,9,1) LH limb contracted 2) Apparently healthy filly,,,,BAR,101.4,72,12,2,2,,,400,10.26,15.70,44.50,43.40,15.30,35.30,17.50,,Slight,Rare,Rare,,,,,,,,10440.00,,209.00,,9709.00,,522.00,0.00,0.00,0.00,182.00,,,5.10,100.00,0.0962,,,
78252FS,843007,7,SNS,A Miss Royal Oak Filly 2021,25-May-21,25-May-21,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,,48,1) Partial failure of passive transfer (IgG 500),Yes,,,BAR,98.4,140,58,2,2,,,500,8.39,12.10,34.40,41.00,14.40,35.10,19.30,,Slight,Many,,,,,,,,,8850.00,,,,7630.00,,1050.00,140.00,20.00,20.00,202.00,No,,4.90,400.00,0.0955,,,
60148FS,686037,3,Healthy,Karina (Ruth 15 Filly),9-Jun-15,9-Jun-15,0.00,ALIVE,Survivor,EQ-DUTCH WARMBLOOD,F,,12,1) 10-12hr old Foal - Sepsis score of 7 2) Adequate Passive Transfer ( >800mg/dl),,No,326,BAR,99.3,100,96,1.5s,2,,,>800,11.82,16.60,44.30,37.50,14.00,37.50,19.10,,Slight,Many,,,,,,,,,6000.00,,180.00,FEW SLIGHT TOXIC,4260.00,,1500.00,60.00,0.00,0.00,202.00,,,6.40,300.00,0.0946,,,
97DN,842888,4,SNS,Sugar's Colt,17-May-21,21-May-21,4.00,ALIVE,Survivor,EQ-TRAKEHNER,M,52.8,0,"1) Partial failure of passive transfer; resolved with plasma 2) Windswept in hind limbs with hind limb laxity, mild carpal contracture; improving 3) Scrotal hernia; resolved with herniorrhaphy and orchidectomy",No,,,QAR to BAR,,124,32,2,2,,,<800,5.90,9.30,26.40,44.80,15.80,35.30,19.10,,slight,many,,,,,,,,,5900.00,,,,3850.00,,1900.00,130.00,10.00,10.00,204.00,no,,4.60,200.00,0.0936,189.00,2.20,
5974DI,839269,7,SNS,Sandi's Ready 2020 Filly,18-May-20,30-May-20,12.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,61,72,1) Clostridium perfringens 2) Salmonella group D,No,No,357,BAR,101.9,96,20,1,2,,,>800,6.07,8.20,22.20,36.60,13.50,36.90,18.70,,Slight,,,,,,,,,,5210.00,,,,3944.00,,870.00,359.00,10.00,21.00,201.00,No,,6.50,400.00,0.0930,111.00,3.10,
59543FS,685145,0,Healthy,Lil Matt Olena 15 Filly,24-Mar-15,24-Mar-15,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,12,1) New Foal Exam; healthy filly 2) Adequate IgG,,,,,101.3,88,52,1,,,,>800,11.58,16.70,44.40,38.30,14.40,37.60,19.10,,Slight,Moderate,,,,,,,,,9310.00,,,,7429.00,,1676.00,186.00,19.00,9.00,207.00,,,5.80,200.00,0.0923,,,
63183EM,674306,4,SNS,Almond 12 Filly (65a02),22-Apr-12,26-Apr-12,4.00,ALIVE,Survivor,EQ-MIX/DRAFT/THOROUGHBRED,F,,4,1) foal wellness exam,No,No,340,BAR,101.2,80,80,1,2,,,800,10.10,14.70,40.70,40.30,14.60,36.10,17.70,,Slight,Moderate,Few,,,,,,,,5500.00,,,,3498.00,,1903.00,50.00,11.00,39.00,194.00,,,5.10,200.00,0.0912,,,
68433EM,681920,0,Healthy,Roman's '14 Filly,24-Apr-14,25-Apr-14,1.00,ALIVE,Survivor,EQ-HANOVERIAN,F,56,7,1) Apparently healthy neonatal filly,No,No,335,BARH,101.1,100,40,<2,2,,,>800,10.86,15.10,46.10,42.40,13.90,32.80,16.80,,Slight,Few,,,,,,,,,9630.00,,,,6731.00,,2456.00,395.00,48.00,0.00,187.00,,,5.30,100.00,0.0898,,,
6259CV,690132,5,SNS,Leonardo La Fey,22-Jun-17,24-Jun-17,2.00,ALIVE,Survivor,EQ-ARABIAN,M,,7,1) Healthy Colt,Yes,,,BAR,101.2,96,48,1,2,,,>800,9.99,13.20,38.20,38.20,13.20,34.60,19.40,,Slight,,,,,,,,,,5470.00,,55.00,,4157.00,,1039.00,219.00,0.00,0.00,216.00,,,5.50,100.00,0.0898,,,
68691FS,695694,2,Healthy,Smart Little Livie '18,12-Apr-18,12-Apr-18,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,,15,1) Apparently healthy 2) Prophylactic plasma transfusion,,,,BAR,99.6,160,60,2,2,,,>800,8.89,11.90,35.30,39.70,13.40,33.70,18.00,,Slight,Many,Rare,Few,,,,,,,8820.00,,88.00,,7673.00,,882.00,176.00,0.00,0.00,202.00,,,5.00,200.00,0.0891,,,
69053FS,694797,6,SNS,Gabby's 2018 Foal,18-May-18,18-May-18,0.00,ALIVE,Survivor,EQ-WARMBLOOD,M,,19,1) Omphalitis 2) Right hock effusion 3) Entropion (OS>OD),,No,332,BAR,101.4,120,100,2,2,,,>800,9.32,13.40,40.20,43.10,14.40,33.30,18.30,,Slight,Moderate,,,,,,,,,8780.00,,,,7252.00,,1493.00,18.00,9.00,0.00,207.00,,,7.50,300.00,0.0884,,,
62412FS,688009,2,Healthy,Isabella Gangster 16 Colt,25-Mar-16,31-Mar-16,6.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,14,1) Neonatal wellness exam 2) IgG over 800,No,No,342,BAR,100.5,112,54,1,2,,,>800,10.02,14.00,42.60,42.50,14.00,32.90,18.10,,Slight,,,,,,,,,,9750.00,,98.00,,8385.00,,1073.00,195.00,0.00,0.00,208.00,,,6.00,300.00,0.0870,,,
69040FS,695984,0,Healthy,China 18 Colt,17-May-18,17-May-18,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,36,1) Apparently healthy,No,,,BAR,101.8,100,60,2,2,,,>800,9.72,13.70,41.20,42.40,14.10,33.30,17.90,,Slight,Moderate,,Moderate,,,,,,,6700.00,,,,4971.00,,1608.00,54.00,34.00,27.00,208.00,,,5.30,300.00,0.0861,,,
68759FS,695863,0,Healthy,Burnn Filly,18-Apr-18,18-Apr-18,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,,14,1) Healthy Foal,No,No,347,BAR,100.8,80,36,1,2,,,>800,11.31,15.80,45.00,39.80,14.00,35.10,18.50,,Slight,Moderate,,Moderate,,,,,,,8610.00,,,,6604.00,,1868.00,69.00,26.00,43.00,215.00,,,5.80,100.00,0.0860,,,
57309FS,682860,4,Septic,Lionne 14 Colt,5-Jun-14,5-Jun-14,0.00,ALIVE,Survivor,EQ-ARABIAN,M,40,6,1) Newborn foal exam,,Yes,318,BAR,99.7,44,12,1-2s,1,1,"DIRECT SMEAR: GRAM (-) RODS, GRAM (+) COCCI (CHAINS) (AND GRAM VARIABLE COB ARTIFACT?). CULTURE: ACTINOBACILLUS EQUULI SS HEMOLYTICUS BV1 AND STREPTOCOCCUS VIRIDANS. NO ANAEROBES WERE CULTURED",,11.04,17.40,49.90,45.20,15.80,34.90,17.30,,Slight,Few,,,,,,,,,5170.00,,,,4462.00,,610.00,83.00,0.00,,203.00,,,5.30,300.00,0.0852,,,
65924FS,691806,0,Healthy,Custom Starlight 17 Colt,12-May-17,12-May-17,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,24,1) Apparently healthy foal. 2) Valgus of RF.,No,,,BAR,99.8,72,50,1,2,,,>800,10.83,15.40,45.00,41.60,14.20,34.20,17.70,,Slight,Few,,,,,,,,,7210.00,,,,5703.00,,1399.00,36.00,36.00,29.00,208.00,,,5.20,200.00,0.0851,,,
53867FS,678420,1,Healthy,Amelia,31-Mar-13,31-Mar-13,0.00,ALIVE,Survivor,EQ-MIX/IRISH WARMBLOOD,F,,30,1) New Foal Exam,,No,321,BARH,100.8,72,30,,2,,,>800,11.65,16.30,45.50,39.10,14.00,35.80,18.60,,Slight,Few,,,,,,,,,8380.00,,,,6888.00,,1366.00,84.00,8.00,34.00,219.00,,,6.10,200.00,0.0849,,,
68553FS,695657,4,SNS,Tiztuff 18 Colt (I'm The Town Tizzy),26-Mar-18,26-Mar-18,0.00,ALIVE,Survivor,EQ-MIX/QUARTER HORSE]/THOROUGHBRED,M,50,24,1) Suspect pharyngeal weakness. 2) Angular limb deformities. 3) Distal limb laxity.,Yes,,,BAR,101.9,100,30,2,2,,,,9.14,12.70,36.50,39.90,13.90,34.80,18.00,,Slight,Few,,,,,,,,,7070.00,,,,5684.00,,1251.00,78.00,21.00,35.00,213.00,,,5.70,200.00,0.0845,,,
5432CU,692918,4,SNS,Danika,31-Mar-17,5-May-17,35.00,ALIVE,Survivor,EQ-FRIESIAN,F,30,72,"1) Premature. 2) Carpal valgus, bilateral, moderate. 3) Tarsal valgus, bilateral (left>right), moderate. 4) Superficial digital flexor laxity, all four limbs, severe. 5) Deep digital flexor laxity, all four limbs, severe (hind > front). 6) Bilateral cataracts OS/OD.",No,Yes,308,BAR,101.3,104,40,1,2,,,,8.89,14.40,42.60,47.90,16.20,33.80,17.80,,Slight,,,,,,,,,,8160.00,,,,6038.00,,1224.00,840.00,24.00,33.00,212.00,,,6.30,400.00,0.0840,,,
325CZ,695735,4,SNS,Iver,28-Mar-18,29-Mar-18,1.00,ALIVE,Survivor,EQ-FRIESIAN,M,,12,1) Apparently healthy foal accompanying mare with RFM 2) Leukopenia and Neutropenia found on CBC,No,No,331,BAR,101.1,114,72,2,2,,,800,9.10,13.80,40.50,44.50,15.20,34.10,17.80,,Slight,Moderate,,,,,,,,,4050.00,,,,3236.00,,745.00,53.00,8.00,8.00,213.00,,,8.00,100.00,0.0836,,,
72045EM,687202,4,SNS,Kaikoura 2015 Foal,26-Jul-15,29-Jul-15,3.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,,1.5,1) Transient Tachypnea,No,No,330,BAR,99.4,160,72,2,2,,,>800,9.09,12.20,35.00,38.50,13.40,34.90,19.50,,Slight,Few,,,,,,,,,8430.00,,,,6567.00,,1762.00,76.00,8.00,17.00,236.00,,,5.30,300.00,0.0826,,,
69020EM,682986,2,Healthy,Sadie 14 Colt,5-Jul-14,6-Jul-14,1.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,33.6,1,1) Healthy Foal,No,No,331,BAR,100.2,92,24,1-2s,2,,,>800,11.14,14.40,41.30,37.10,12.90,34.90,18.50,,Slight,Moderate,,,,Slight,,,,,4960.00,,,,3021.00,,1825.00,89.00,15.00,10.00,226.00,,,5.60,200.00,0.0819,,,
2565BZ,675555,0,Healthy,Playin With Courage '12 Foal,17-May-12,19-May-12,2.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,24,1) Grade 6/6 holosystolic murmur,,,,BAR,101.2,120,44,<2,2,,,>800,9.50,14.70,40.80,42.90,15.50,36.00,17.40,,Slight,,,,,,,,,,6940.00,,,,5448.00,,1298.00,160.00,14.00,28.00,214.00,,,6.60,200.00,0.0813,,,
75088FS,839492,3,SNS,Rule The Storm Filly 2020,29-Apr-20,29-Apr-20,0.00,ALIVE,Survivor,EQ-THOROUGHBRED,F,,24,1) Diarrhea - Etiology Open,No,,,BAR,100.9,64,40,2,2,,,800,11.13,15.50,44.00,39.50,13.90,35.20,17.70,,Slight,Moderate,Rare,,,,,,,,12290.00,,,,9930.00,,2126.00,197.00,12.00,37.00,219.00,No,,6.20,200.00,0.0808,,,
62564FS,688598,0,Healthy,Blondie 16 Filly,9-Apr-16,9-Apr-16,0.00,ALIVE,Survivor,EQ-AMERICAN SADDLEBRED,F,,7,1) Foal - possible FPT,,,,BAR,101.1,80,35,2-3s,2,,,>800,11.03,15.50,46.00,41.70,14.10,33.70,18.40,,Slight,,,,,,,,,,5720.00,,,,4570.00,,1098.00,6.00,17.00,29.00,231.00,,,4.20,200.00,0.0797,,,
63107FS,690516,0,Healthy,Cinderada Cat 16 Filly,12-Jun-16,12-Jun-16,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,12,1) Healthy newborn foal 2) IGG Snap Test >800 g/dl 3) Mild contraction of fetlocks,No,,,BAR,101.2,124,58,1,2,,,>800,10.25,14.60,42.90,41.90,14.20,34.00,18.60,,Slight,Moderate,,,,,,,,,9860.00,,,,7494.00,,1085.00,1282.00,,,241.00,,,5.80,200.00,0.0772,,,
51512FS,675519,0,Healthy,Ar Powdered Joette 12 Filly (22b1d),21-May-12,21-May-12,0.00,ALIVE,Survivor,EQ-MIX/THOROUGHBRED/QUARTER HORSE,F,,13.5,1) Foal exam- systemically healthy,,,,BAR,101.2,104,60,<2,2,,,>800,8.87,12.10,36.50,41.10,13.60,33.20,17.80,,Slight,,,,,,,,,,9340.00,,,,7463.00,,1597.00,252.00,9.00,19.00,242.00,,,7.00,200.00,0.0736,,,
78589FS,843540,2,SNS,Jewelry's 2021 Filly,30-Jun-21,30-Jun-21,0.00,ALIVE,Survivor,EQ-ARABIAN,F,,720,1) appropriate passive transfer 2) mild lymphopenia not over concerning 3) mild RH tarsocrural effusion + severe ongoing multiple ALDs and laxity (++ R carpus),,No,337,BAR,101.6,90,72,2,2,,,400-800,10.34,14.40,41.20,39.80,13.90,35.00,19.50,,slight,few,rare,moderate,,,,,,,8770.00,,,,7640.00,,940.00,150.00,10.00,30.00,266.00,no,,5.10,300.00,0.0733,,,
68832FS,694815,0,Healthy,Olympia '18,25-Apr-18,25-Apr-18,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],F,,36,1) Healthy Filly 2) Plasma Transfusion,No,No,335,BAR,101.6,80,78,1,2,,,>800,10.24,13.80,40.70,39.70,13.50,33.90,18.00,,Slight,Many,,,,,,,,,6510.00,,,,4954.00,,1406.00,85.00,39.00,26.00,255.00,,,5.80,300.00,0.0706,,,
59580FS,685281,0,Healthy,Isabella Gangster 15 Filly,30-Mar-15,30-Mar-15,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,6.5,1) Healthy,No,,,BAR,100.2,100,92,<2,2,,,>800,11.21,15.60,39.90,35.60,13.90,39.10,18.90,,Moderate,,Rare,,,,,,,,8550.00,,,,6891.00,,1522.00,120.00,17.00,0.00,268.00,,,5.70,200.00,0.0705,,,
50904FS,674715,7,SNS,Double R Luck 12 Filly (47f29),15-Mar-12,15-Mar-12,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,24,1) New born foal exam 2) adequate IgG 3) Abnormal CBC,,No,334,BAR,101.2,130,60,~1,2,,,>800,9.18,14.70,41.00,44.70,16.00,35.90,17.40,,Slight,,Rare,,,,,,,,11760.00,,588.00,SLIGHT TOXIC ,9966.00,FEW SLIGHT TOXIC,1058.00,118.00,0.00,0.00,248.00,,,5.60,300.00,0.0702,,,
65949FS,690066,2,SNS,Lil Matt Olena 17 Filly,16-May-17,16-May-17,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,F,,24,1) Partial failure of passive transfer of immunity (resolved),No,,,BARH,100.2,84,30,<2,2,,,400-800,10.12,15.00,43.70,43.20,14.80,34.30,18.10,,slight,moderate,,,,,,,,,9310.00,,,,7467.00,,1722.00,84.00,19.00,19.00,260.00,no,,5.00,200.00,0.0696,,,
68349FS,694632,6,SNS,Petri,24-Feb-18,24-Feb-18,0.00,ALIVE,Survivor,EQ-WARMBLOOD,F,64,10,1) Apparently healthy 2) Mild hyperfibrinogenemia (300mg/dL),Yes,,,BAR,100.4,120,24,2,2,,,800,7.79,10.50,32.23,41.50,13.50,32.50,18.10,,Slight,Rare,,,,,,,,,9600.00,,,,8122.00,,1363.00,77.00,10.00,19.00,267.00,,,5.00,300.00,0.0678,,,
65670FS,692794,0,Healthy,Isabella Gangster 17 Colt,18-Apr-17,18-Apr-17,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,24,"1) Mild, bilateral carpal contracture. 2) Mild left carpal valgus. 3) Small, 1.5cm umbilical hernia.",,,,BARH,101.1,120,104 (excited),"1,2",2,,,>800,10.32,14.30,41.40,40.10,13.90,34.50,18.40,,slight,moderate,,,,,,,,,10760.00,,,,7855.00,,2367.00,430.00,0.00,108.00,278.00,no,,5.80,200.00,0.0662,,,
68415FS,695187,0,Healthy,Look Whos Pinen '18,6-Mar-18,6-Mar-18,0.00,ALIVE,Survivor,EQ-QUARTER HORSE],M,,12,1) Apparently healthy foal,No,,,BAR,100.8,112,40,2,2,,,>800,9.42,13.80,41.80,44.40,14.60,33.00,17.60,,Slight,,,,,,,,,,9280.00,,,,6867.00,,2227.00,186.00,0.00,0.00,268.00,,,5.50,100.00,0.0657,,,
60083FS,685951,3,Healthy,Ieke 15 Filly,3-Jun-15,3-Jun-15,0.00,ALIVE,Survivor,EQ-FRIESIAN,F,,0,"1) New Born Foal - Possibly Premature, Unobserved Birth",,Yes,318,BAR,100.6,160,48,1-2s,2,,,400-800,11.16,15.90,43.10,38.60,14.20,36.90,19.00,,Slight,,,,,,,,,,10790.00,,,,8977.00,,1392.00,399.00,0.00,11.00,295.00,,,5.10,200.00,0.0644,,,
51447FS,675512,5,SNS,Sareeah,14-May-12,14-May-12,0.00,ALIVE,Survivor,EQ-ARABIAN,F,40,12,1) Failure of passive transfer - Plasma administered 2) Increased fibrinogen on CBC (started on antimicrobials),,,,BAR,101.8,92,24,<2,2,,,<400,8.76,12.30,33.30,38.00,14.00,36.90,17.80,,Slight,,,,,,,,,,6180.00,,,,4981.00,,791.00,352.00,31.00,25.00,277.00,,,5.20,700.00,0.0643,,,
75827FS,839859,5,SNS,Valse Triste 2020 Filly,18-Aug-20,18-Aug-20,0.00,ALIVE,Survivor,EQ-ARABIAN,F,,17,"1) Partial failure of passive transfer, plasma administered",,,,BAR,102.1,120,60,2,2,,,400,10.69,15.60,43.30,40.50,14.60,36.00,19.10,,Slight,Many,,,,,,,,,5600.00,,56.00,,4872.00,,504.00,168.00,0.00,0.00,305.00,No,,5.20,200.00,0.0626,,,
59861FS,685779,3,SNS,UC Uncommon Valor,5-May-15,5-May-15,0.00,ALIVE,Survivor,EQ-QUARTER HORSE,M,,28,"1) Neonatal foal exam: thickened umbilicus, 3cm umbilical hernia. Moderate IgG (400-800)",No,,,BAR,101.5,116,80,<2,2,,,400-800,11.16,15.60,39.60,35.50,14.00,39.40,19.50,,Slight,,,,,,,,,,7300.00,,,,5198.00,,1891.00,183.00,22.00,7.00,312.00,,,4.70,100.00,0.0625,,,
59877FS,685766,5,SNS,Miracle 15 Filly,7-May-15,7-May-15,0.00,ALIVE,Survivor,EQ-MIX/DRAFT,F,,0,1) Dehydration and complete failure of passive transfer due to rejection of foal by mare,,,,BAR,101.6,100,80,<2,2,,,0,10.09,14.30,37.70,37.40,14.20,37.90,19.70,,Slight,Many,,,,,,,,,9800.00,,,,8124.00,,1401.00,235.00,10.00,29.00,317.00,,,4.40,400.00,0.0621,,,
54295FS,679414,3,Healthy,Django,17-May-13,17-May-13,0.00,ALIVE,Survivor,EQ-ARABIAN,M,,24,1) Routine new foal exam 2) Healthy foal,No,,,BAR,100.9,88,112,2,2,,,>800,10.01,13.90,38.80,38.80,13.90,35.80,18.00,,Slight,Few,,,,,,,,,8950.00,,179.00,SLIGHT TOXICITY,6534.00,,2059.00,179.00,0.00,0.00,292.00,,,6.50,100.00,0.0616,,,
